ID,Nombre,Nivel,Cant prod vendidos,Monto vendido,Comision
3,Robby,1,99,83447.29,2920.66
20,Baxter,1,54,2754.30,96.40
28,Rodie,1,102,135.04,6.75
30,Constantino,1,74,58385.19,2043.48
31,Elisha,1,149,2461.53,123.08
33,Leland,1,76,45139.60,1579.89
36,Flossy,1,124,32452.43,1622.62
37,Christo,1,101,41756.18,2087.81
40,Danice,1,127,86632.91,4331.65
43,Fransisco,1,185,66474.57,3323.73
44,Archie,1,19,9698.92,339.46
49,Bartolomeo,1,162,95673.58,4783.68
50,Herrick,1,69,21374.63,748.11
55,Bordie,1,15,14550.31,509.26
59,Torrance,1,68,52085.19,1822.98
63,Manfred,1,112,4356.59,217.83
64,Tamera,1,150,71778.10,3588.91
66,Abelard,1,198,67583.96,3379.20
68,Alana,1,36,40756.73,1426.49
74,Devon,1,169,63167.88,3158.39
78,Marty,1,17,36828.54,1289.00
88,Georgi,1,41,93000.20,3255.01
91,Henriette,1,103,25387.08,1269.35
97,Malvina,1,74,49810.87,1743.38
100,Gray,1,183,62832.17,3141.61
