ID,Nombre,Nivel,Cant prod vendidos,Monto vendido,Comision
1,Ariadna,2,89,117.00,2.34
2,Blanca,2,152,20984.77,419.70
6,Kyle,2,183,87481.40,1749.63
8,Vanya,2,174,85760.90,1715.22
9,Amber,2,32,24527.98,490.56
12,Cornelius,2,136,53530.67,1070.61
15,Corry,2,126,21861.11,437.22
17,Jo-anne,2,141,28564.96,571.30
18,Barn,2,17,81857.73,1637.15
22,Desiree,2,83,79516.36,1590.33
25,Caresse,2,156,44196.38,883.93
32,Valentine,2,163,65507.71,1310.15
34,Ellyn,2,164,44071.21,881.42
35,Ola,2,115,11798.95,235.98
45,Polly,2,96,90896.61,1817.93
46,Harrietta,2,118,10843.24,216.86
47,Georgeanna,2,51,35087.63,701.75
51,Florina,2,44,97451.00,1949.02
52,Faustina,2,62,99187.04,1983.74
53,Bent,2,176,93415.51,1868.31
58,Remus,2,53,25826.29,516.53
65,Milicent,2,184,66967.03,1339.34
69,Shayne,2,166,87181.02,1743.62
72,Esra,2,196,75835.91,1516.72
75,Taddeusz,2,63,97698.74,1953.97
77,Igor,2,15,27068.50,541.37
81,Mortimer,2,4,40181.62,803.63
89,Delmore,2,7,56085.43,1121.71
90,Didi,2,137,84333.43,1686.67
93,Jennifer,2,174,77226.76,1544.54
103,George,2,123,3456.76,69.14
